Power,Speed,P/v,Width,Depth,Length,hatch distance depth (um),lack of fusion - hatch,lack of fusion,balling,keyholing,hmax
216.6666667,1200,0.180555556,104.7401863,109.8041768,773.2108617,108.4339379,10.84339379,10.98041768,0.135461349,0.953881622,100.2736428
216.6666667,1466.666667,0.147727273,96.16142642,84.21300676,735.7154084,82.38231704,8.238231704,8.421300676,0.130704652,1.141883304,90.91489712
216.6666667,1733.333333,0.125,89.69561183,67.59670823,703.0949776,66.73825374,6.673825374,6.759670823,0.12757254,1.326922778,83.71674252
216.6666667,2000,0.108333333,84.70005784,56.69887671,669.5740598,55.91626484,5.591626484,5.669887671,0.126498416,1.493857776,78.09292224
216.6666667,2266.666667,0.095588235,80.67606673,49.15101785,639.9604461,48.5745332,4.85745332,4.915101785,0.126064145,1.641391578,73.54105628
216.6666667,2533.333333,0.085526316,76.28463935,43.52589203,614.8526489,42.98504772,4.298504772,4.352589203,0.124069791,1.752626673,68.79058151
216.6666667,2800,0.077380952,73.17099079,39.26539251,595.0990314,38.85965365,3.885965365,3.926539251,0.12295599,1.863498264,65.3240246
240,666.6666667,0.36,113.0758568,256.8526786,660.5600963,246.8131266,24.68131266,25.68526786,0.171181786,0.440236237,110.9369326
240,933.3333333,0.257142857,117.2048144,178.0496057,861.8416899,175.5636994,17.55636994,17.80496057,0.135993438,0.658270564,114.0459181
240,1200,0.2,108.2763302,129.019636,865.0883751,125.1533669,12.51533669,12.9019636,0.125162161,0.839223653,104.3093792
240,1466.666667,0.163636364,100.2234281,96.97704557,828.3702481,95.94501655,9.594501655,9.697704557,0.120988686,1.033475783,95.42417816
240,1733.333333,0.138461538,93.50706218,77.50958315,793.8983195,76.2521466,7.62521466,7.750958315,0.117782164,1.206393563,88.00235727
240,2000,0.12,88.13190864,65.34483322,756.9091788,63.38982919,6.338982919,6.534483322,0.11643657,1.348720385,82.07522171
240,2266.666667,0.105882353,84.46885565,55.57272622,722.7097172,54.92126888,5.492126888,5.557272622,0.116877985,1.519969622,77.76171707
240,2533.333333,0.094736842,79.91781384,48.81865151,696.223023,48.25369589,4.825369589,4.881865151,0.114787663,1.63703444,72.80797512
240,2800,0.085714286,76.26293879,43.80619618,670.0673886,43.23404011,4.323404011,4.380619618,0.113813834,1.740916707,68.81215569
